URL,secure,path,path_specified,expires,discard,port,port_specified
.google.com,FALSE,/,TRUE,1559681184,FALSE,,FALSE
.google.com,FALSE,/,TRUE,1572900384,FALSE,,FALSE
.google.com,FALSE,/,TRUE,1559681184,FALSE,,FALSE
.google.com,FALSE,/,TRUE,1572900384,FALSE,,FALSE
.baidu.com,FALSE,/,TRUE,1557175626,FALSE,,FALSE
.admaster.com.cn,FALSE,/,TRUE,1588654040,FALSE,,FALSE
.mmstat.com,FALSE,/,TRUE,,TRUE,,FALSE
.linkedin.com,FALSE,/,TRUE,1557175663,FALSE,,FALSE
.live.com,TRUE,/,TRUE,,TRUE,,FALSE
outlook.live.com,TRUE,/,TRUE,1588711663,FALSE,,FALSE
.google.co.in,FALSE,/,TRUE,1559681264,FALSE,,FALSE
.google.co.in,FALSE,/,TRUE,1572900464,FALSE,,FALSE
.google.co.in,FALSE,/,TRUE,1559681264,FALSE,,FALSE
.google.co.in,FALSE,/,TRUE,1572900464,FALSE,,FALSE
.sina.com.cn,FALSE,/,TRUE,1872449276,FALSE,,FALSE
.sina.com.cn,FALSE,/,TRUE,,TRUE,,FALSE
emarketing.sina.com.cn,FALSE,/,TRUE,,TRUE,,FALSE
emarketing.sina.com.cn,FALSE,/,TRUE,,TRUE,,FALSE
adm.leju.com,FALSE,/,TRUE,,TRUE,,FALSE
cre.mix.sina.com.cn,FALSE,/,TRUE,,TRUE,,FALSE
.admaster.com.cn,FALSE,/,TRUE,1588654120,FALSE,,FALSE
.baidu.com,FALSE,/,TRUE,1588625339,FALSE,,FALSE
.weibo.com,FALSE,/,TRUE,,TRUE,,FALSE
.weibo.com,FALSE,/,TRUE,,TRUE,,FALSE
.weibo.com,FALSE,/,TRUE,,TRUE,,FALSE
.weibo.com,FALSE,/,TRUE,,TRUE,,FALSE
www.weibo.com,FALSE,/,TRUE,,TRUE,,FALSE
www.weibo.com,FALSE,/,FALSE,,TRUE,,FALSE
api.tw.weibo.com,FALSE,/,TRUE,1557092946,FALSE,,FALSE
pixel.rubiconproject.com,FALSE,/,TRUE,,TRUE,,FALSE
.vk.com,FALSE,/,TRUE,1557175768,FALSE,,FALSE
.vk.com,FALSE,/,TRUE,1557175768,FALSE,,FALSE
.vk.com,FALSE,/,TRUE,1557175768,FALSE,,FALSE
.vk.com,FALSE,/,TRUE,1557175768,FALSE,,FALSE
.vk.com,FALSE,/,TRUE,1588676405,FALSE,,FALSE
.vk.com,FALSE,/,TRUE,1588771782,FALSE,,FALSE
m.vk.com,FALSE,/,FALSE,,TRUE,,FALSE
.sohu.com,FALSE,/,TRUE,1557694213,FALSE,,FALSE
ydgf.sohu.com,FALSE,/,TRUE,,TRUE,,FALSE
.ad-plus.cn,FALSE,/,TRUE,1588625434,FALSE,,FALSE
.yandex.ru,TRUE,/,TRUE,1872449500,FALSE,,FALSE
.yandex.ru,FALSE,/,TRUE,1567457500,FALSE,,FALSE
.yandex.ru,FALSE,/,TRUE,1559681500,FALSE,,FALSE
.yandex.ru,FALSE,/,TRUE,1872449500,FALSE,,FALSE
tech.yandex.ru,FALSE,/,TRUE,,TRUE,,FALSE
tech.yandex.ru,FALSE,/,TRUE,,TRUE,,FALSE
.yandex.ru,FALSE,/,TRUE,1872449515,FALSE,,FALSE
.ebay.com,FALSE,/,TRUE,1620161507,FALSE,,FALSE
.ebay.com,FALSE,/,TRUE,,TRUE,,FALSE
.ebay.com,FALSE,/,TRUE,1588625507,FALSE,,FALSE
.ebay.com,FALSE,/,TRUE,,TRUE,,FALSE
.ebay.com,FALSE,/,TRUE,1620161510,FALSE,,FALSE
.ebay.com,FALSE,/,TRUE,,TRUE,,FALSE
.ebay.com,FALSE,/,TRUE,1588625510,FALSE,,FALSE
.ebay.com,FALSE,/,TRUE,,TRUE,,FALSE
.ebay.com,FALSE,/,TRUE,1620161512,FALSE,,FALSE
.ebay.com,FALSE,/,TRUE,,TRUE,,FALSE
.ebay.com,FALSE,/,TRUE,1588625512,FALSE,,FALSE
.ebay.com,FALSE,/,TRUE,,TRUE,,FALSE
.google.de,FALSE,/,TRUE,1559681513,FALSE,,FALSE
.google.de,FALSE,/,TRUE,1572900713,FALSE,,FALSE
.ebay.com,FALSE,/,TRUE,,TRUE,,FALSE
.ebay.com,FALSE,/,TRUE,1588625515,FALSE,,FALSE
.ebay.com,FALSE,/,TRUE,1620161517,FALSE,,FALSE
.ebay.com,FALSE,/,TRUE,,TRUE,,FALSE
.ebay.com,FALSE,/,TRUE,1588625517,FALSE,,FALSE
.ebay.com,FALSE,/,TRUE,,TRUE,,FALSE
.ebay.com,FALSE,/,TRUE,,TRUE,,FALSE
.ebay.com,FALSE,/,TRUE,1588625519,FALSE,,FALSE
.google.de,FALSE,/,TRUE,1559681521,FALSE,,FALSE
.google.de,FALSE,/,TRUE,1572900721,FALSE,,FALSE
.google.co.uk,FALSE,/,TRUE,1559681526,FALSE,,FALSE
.google.co.uk,FALSE,/,TRUE,1572900726,FALSE,,FALSE
.google.fr,FALSE,/,TRUE,1559681907,FALSE,,FALSE
.google.fr,FALSE,/,TRUE,1572901107,FALSE,,FALSE
.google.fr,FALSE,/,TRUE,1559681908,FALSE,,FALSE
.google.fr,FALSE,/,TRUE,1572901108,FALSE,,FALSE
.google.co.jp,FALSE,/,TRUE,1559681909,FALSE,,FALSE
.google.co.jp,FALSE,/,TRUE,1572901109,FALSE,,FALSE
.google.co.jp,FALSE,/,TRUE,1559681909,FALSE,,FALSE
.google.co.jp,FALSE,/,TRUE,1572901109,FALSE,,FALSE
.msn.com,FALSE,/,TRUE,1588712310,FALSE,,FALSE
.msn.com,FALSE,/,TRUE,1588712311,FALSE,,FALSE
.google.com.br,FALSE,/,TRUE,1559681911,FALSE,,FALSE
.google.com.br,FALSE,/,TRUE,1572901111,FALSE,,FALSE
.google.com.br,FALSE,/,TRUE,1559681912,FALSE,,FALSE
