Url,secure,path,path_specified,expires,discard,port,port_specified,tracking
69.172.201.153,False,/,True,,True,,False,1
.linkarena.com,False,/,True,,True,,False,1
.counterstation.de,False,/,True,1577833200.0,False,,False,0
.filefactory.com,False,/,True,1557209746.0,False,,False,1
www.filefactory.com,False,/,True,,True,,False,1
www.filefactory.com,False,/,True,,True,,False,1
ktrackdata.com,False,/,True,1557209752.0,False,,False,1
.kaixin001.com,False,/,True,,True,,False,0
media.kaixin001.com,False,/,True,,True,,False,0
media.kaixin001.com,False,/,False,,True,,False,0
204.11.56.48,False,/,True,,True,,False,1
.replacemyremote.com,True,/,True,1557127255.0,False,,False,1
.lesbianxrated.com,False,/,True,1577833200.0,False,,False,0
.liquidmedianetworks.com,False,/,True,1577833201.0,False,,False,0
l-nv.tech.starkmedia.ru,False,/,True,,True,,False,1
links.acetrades.com,False,/,True,1557166928.0,False,,False,0
209.126.123.11,False,/,True,,True,,False,1
lincolncountyuniteforyouth.org,False,/,True,,True,,False,1
46.30.42.126,False,/,True,,True,,False,0
.ad6media.fr,False,/,True,1588659748.0,False,,False,0
.ad6media.fr,False,/,True,1591251748.0,False,,False,0
.linkbestop.com,False,/,True,,True,,False,0
www.lincolncountylawmen.club,False,/,True,,True,,False,1
.tripod.lycos.com,False,/,True,1588659800.0,False,,False,1
.tune.com,False,/,True,1588659801.0,False,,False,1
204.11.56.48,False,/,True,,True,,False,1
.linotraffic.com,False,/,True,1577833201.0,False,,False,0
link.ixs1.net,False,/,True,,True,,False,1
.alibaba.com,False,/,True,1564723882.0,False,,False,0
.tripod.lycos.com,False,/,True,1588659884.0,False,,False,1
212.27.63.130,False,/,True,,True,,False,1
www.afternic.com,False,/,True,,True,,False,0
www.afternic.com,True,/,True,,True,,False,0
livestats.fr,False,/,True,1557127615.0,False,,False,1
livestats.fr,False,/,True,1557127604.0,False,,False,1
start.jabirufun.com,False,/,True,,True,,False,1
start.jabirufun.com,False,/signup,False,1559715999.0,False,,False,1
.lifestreet.com,False,/,True,,True,,False,1
.lifestreet.com,False,/,True,1588660003.0,False,,False,1
libie.justclick.ru,False,/,True,1620196007.0,False,,False,1
.mybet.com,False,/,True,1588660007.0,False,,False,1
.soup.io,False,/,True,1557210416.0,False,,False,1
lfmtracker.com,False,/,True,1557210419.0,False,,False,0
livetracker.voanews.eu,False,/,True,,True,,False,1
livetracker.voanews.eu,False,/,True,1588660031.0,False,,False,1
livetracker.voanews.eu,False,/,True,1588746431.0,False,,False,1
ld.media-get.com,False,/,False,1557210497.0,False,,False,1
secure.iprom.net,False,/,True,1593043275.0,False,,False,1
media.naked.com,False,/,True,,True,,False,1
.ad6media.fr,False,/,True,1588660116.0,False,,False,0
.ad6media.fr,False,/,True,1591252116.0,False,,False,0
.youtube.com,False,/,True,1557125916.0,False,,False,1
.youtube.com,False,/,True,1578162097.0,False,,False,1
.ladyclicks.ru,False,/,True,1577833201.0,False,,False,1
.laptopi.net,False,/,True,,True,,False,0
103.224.182.207,False,/,True,,True,,False,0
livetracker.martinoticias.org,False,/,True,,True,,False,1
livetracker.martinoticias.org,False,/,True,1588660135.0,False,,False,1
livetracker.martinoticias.org,False,/,True,1588746535.0,False,,False,1
link4ads.com,False,/,True,1557210538.0,False,,False,1
linuxtracker.org,False,/,True,,True,,False,0
.qarchive.org,False,/,True,1872484266.0,False,,False,0
.kliptracker.com,False,/,True,1588660276.0,False,,False,1
kliptracker.com,False,/,True,1557124306.0,False,,False,1
.littlecookie.com,False,/,True,1588660279.0,False,,False,0
.www.krismediaworks.net,False,/,True,,True,,False,0
.www.krismediaworks.net,False,/,True,,True,,False,0
.www.krismediaworks.net,False,/,True,,True,,False,0
.www.krismediaworks.net,False,/,True,1620282765.0,False,,False,0
www.krismediaworks.net,False,/,True,,True,,False,0
www.krismediaworks.net,False,/,False,1557124386.0,False,,False,0
.lifestreet.com,False,/,True,,True,,False,1
.lifestreet.com,False,/,True,1588660370.0,False,,False,1
.www.leserservice.de,True,/,True,,True,,False,0
www.leserservice.de,False,/,True,,True,,False,0
www.leserservice.de,True,/,True,1564900422.0,False,,False,0
livetracker.radiosawa.us,False,/,True,,True,,False,1
livetracker.radiosawa.us,False,/,True,1588660426.0,False,,False,1
livetracker.radiosawa.us,False,/,True,1588746826.0,False,,False,1
livestuff.com,False,/,True,,True,,False,1
.inthecrack.com,False,/,True,1588660429.0,False,,False,0
laptop-enews.com,False,/,True,1557210882.0,False,,False,0
keytrack.de,False,/,True,1557160493.0,False,,False,1
lazarshopping.com,False,/,False,,True,,False,0
.letradergagnant.com,False,/,True,1577833201.0,False,,False,0
.lltrifutracker.com,False,/,True,,True,,False,0
.ldrtrack.com,False,/,True,1588660498.0,False,,False,0
linkclicks.com,False,/,True,,True,,False,1
media.netseer.com,False,/,True,,True,,False,0
212.85.118.148,False,/,True,,True,,False,1
www.domainmarkt.de,False,/livehit.de,False,1588660584.0,False,,False,0
leadclick.com,False,/,True,1557210986.0,False,,False,1
kaufmancountytparty.org,False,/,True,,True,,False,1
192.254.233.131,False,/,True,,True,,False,1
lb.mediaget.com,False,/,True,,True,,False,1
legendmediapros.com,False,/,True,,True,,False,0
lincolncountywa.com,False,/,True,1557211018.0,False,,False,0
wvw.laptopsuperstore.com,False,/,True,1557126421.0,False,,False,0
ld.mediaget.com,False,/,False,1557211022.0,False,,False,1
